ticker,nome,setor,tipo,preco_brl,preco_usd,abertura,maxima,minima,volume,var_1d,var_1w,var_1m,var_ytd,var_5y,var_all,preco_1d_ago,preco_1w_ago,preco_1m_ago,preco_inicio_ano,preco_5y_ago,preco_all_time,market_cap,pe_ratio,forward_pe,pb_ratio,dividend_yield,eps,beta,week_52_high,week_52_low,pct_from_52w_high,ma_50,ma_200,rsi_14,above_ma_50,above_ma_200,ma_50_above_200,profit_margin,roe,debt_to_equity,analyst_rating,target_price,num_analysts,ibov_change_1d,ibov_change_ytd,sp500_change_1d,sp500_change_ytd,vs_ibov_1d,vs_ibov_1m,vs_ibov_ytd,vs_sp500_1d,vs_sp500_1m,vs_sp500_ytd,signal_golden_cross,signal_death_cross,signal_rsi_oversold,signal_rsi_overbought,signal_52w_high,signal_52w_low,signal_volume_spike,signal_summary,volatility_30d,avg_volume_20d,volume_ratio,news_sentiment_pt,news_sentiment_en,news_sentiment_combined,news_count_pt,news_count_en,news_headline_pt,news_headline_en,news_sentiment_label,data_cotacao,atualizado_em
AMER3,Americanas,Varejo,stock,5.61,1.08,5.6,5.68,5.58,351100.0,1.26,1.26,-2.09,-2.09,-99.93,-99.63,5.54,5.54,5.73,5.73,8155.1,1514.36,,,,,,,,,,,443.0,2308.81,44.0,0,0,0,,,,,,,-0.11,16.88,0.44,0.68,1.38,-11.7,-18.97,0.83,-2.33,-2.77,0,1,0,0,0,0,0,bearish,32.32,66164624.7,0.01,,,,,,,,,2026-02-20,2026-02-20 18:03:23
ASAI3,Assaí,Varejo,stock,9.4,1.81,9.37,9.56,9.28,7312300.0,-0.63,-5.05,16.77,29.12,,-37.33,9.46,9.9,8.05,7.28,,15.0,,,,,,,,,,,9.2,12.16,53.1,1,0,0,,,,,,,-0.11,16.88,0.44,0.68,-0.52,7.17,12.24,-1.07,16.53,28.44,0,1,0,0,0,0,0,neutral,5.58,77510870.0,0.09,,,,,,,,,2026-02-20,2026-02-20 18:03:23
AZZA3,Azzas 2154,Varejo,stock,25.74,4.96,25.19,25.79,24.98,961900.0,5.15,5.15,-3.74,-3.74,-63.91,13.14,24.48,24.48,26.74,26.74,71.32,22.75,,,,,,,,,,,56.96,,42.2,0,,,,,,,,,-0.11,16.88,0.44,0.68,5.26,-13.34,-20.62,4.71,-3.98,-4.42,0,0,0,0,0,0,0,neutral,13.32,48073200.0,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
BHIA3,Casas Bahia,Varejo,stock,3.02,0.58,3.01,3.06,2.98,2126200.0,3.07,3.07,-6.21,-6.21,-98.84,-87.23,2.93,2.93,3.22,3.22,259.63,23.66,,,,,,,,,,,24.84,112.96,48.4,0,0,0,,,,,,,-0.11,16.88,0.44,0.68,3.19,-15.82,-23.09,2.63,-6.45,-6.89,0,1,0,0,0,0,0,bearish,49.47,97864605.0,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
GMAT3,Grupo Mateus,Varejo,stock,5.5,1.06,5.58,5.63,5.5,4688500.0,-1.43,1.66,11.56,22.49,-34.13,-35.67,5.58,5.41,4.93,4.49,8.35,8.55,,,,,,,,,,,6.54,6.62,61.0,0,0,0,,,,,,,-0.11,16.88,0.44,0.68,-1.32,1.96,5.62,-1.87,11.32,21.82,0,1,0,0,0,0,0,bearish,4.85,37160740.0,0.13,,,,,,,,,2026-02-20,2026-02-20 18:03:23
GRND3,Grendene,Varejo,stock,4.8,0.92,4.81,4.83,4.78,1295000.0,0.42,0.42,-3.23,-3.23,-32.49,30.91,4.78,4.78,4.96,4.96,7.11,3.67,,,,,,,,,,,6.36,6.22,34.1,0,0,1,,,,,,,-0.11,16.88,0.44,0.68,0.53,-12.83,-20.1,-0.02,-3.46,-3.9,1,0,0,0,0,0,0,neutral,5.78,48137205.0,0.03,,,,,,,,,2026-02-20,2026-02-20 18:03:23
LREN3,Lojas Renner,Varejo,stock,15.44,2.97,15.51,15.68,15.32,3861600.0,0.59,0.59,3.42,3.42,-48.63,-99.78,15.35,15.35,14.93,14.93,30.06,6982.04,,,,,,,,,,,16.75,17.73,54.3,0,0,0,,,,,,,-0.11,16.88,0.44,0.68,0.7,-6.19,-13.46,0.15,3.18,2.74,0,1,0,0,0,0,0,bearish,13.38,339343642.0,0.01,,,,,,,,,2026-02-20,2026-02-20 18:03:23
MGLU3,Magazine Luiza,Varejo,stock,10.62,2.05,10.47,10.79,10.38,9319400.0,3.81,3.81,8.48,8.48,-95.07,134.77,10.23,10.23,9.79,9.79,215.39,4.52,,,,,,,,,,,20.07,,61.7,0,,,,,,,,,-0.11,16.88,0.44,0.68,3.93,-1.13,-8.4,3.37,8.24,7.8,0,0,0,0,0,0,0,neutral,18.95,501462641.25,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
PCAR3,Pão de Açúcar,Varejo,stock,3.09,0.6,3.02,3.13,2.99,8392800.0,-12.22,-12.22,-19.53,-19.53,-71.88,-31.3,3.52,3.52,3.84,3.84,10.99,4.5,,,,,,,,,,,9.0,10.61,53.4,0,0,0,,,,,,,-0.11,16.88,0.44,0.68,-12.1,-29.14,-36.41,-12.65,-19.77,-20.21,0,1,0,0,0,0,0,bearish,13.11,244055645.0,0.03,,,,,,,,,2026-02-20,2026-02-20 18:03:23
PETZ3,Petz,Varejo,stock,4.39,0.85,4.39,4.39,4.39,0.0,0.0,0.0,7.07,0.0,-75.71,-71.11,4.39,4.39,4.1,4.39,18.08,15.2,,,,,,,,,,,4.11,6.01,65.6,1,0,0,,,,,,,-0.11,16.88,0.44,0.68,0.11,-2.53,-16.88,-0.44,6.84,-0.68,0,1,0,0,0,0,0,neutral,4.62,25983630.0,0.0,,,,,,,,,2026-01-05,2026-02-20 18:03:23
VIVA3,Vivara,Varejo,stock,30.73,5.92,30.9,31.17,30.53,889800.0,-1.95,3.12,8.4,-4.74,18.74,29.5,31.34,29.8,28.35,32.26,25.88,23.73,,,,,,,,,,,27.56,25.63,46.6,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,-1.83,-1.21,-21.62,-2.38,8.16,-5.42,1,0,0,0,0,0,0,bullish,5.1,15422895.0,0.06,,,,,,,,,2026-02-20,2026-02-20 18:03:23
VULC3,Vulcabras,Varejo,stock,18.91,3.64,18.8,19.19,18.64,1205700.0,5.52,5.52,4.94,4.94,155.54,-98.74,17.92,17.92,18.02,18.02,7.4,1500.0,,,,,,,,,,,16.17,10.0,54.6,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,5.64,-4.67,-11.94,5.09,4.7,4.26,1,0,0,0,0,0,0,bullish,8.78,17600191.55,0.07,,,,,,,,,2026-02-20,2026-02-20 18:03:23
WMT,Walmart,Varejo,stock,629.66,121.28,123.0,123.43,121.15,20055734.0,-9.42,-9.42,1.8,1.8,160.05,577533.81,133.89,133.89,119.14,119.14,46.64,0.02,,,,,,,,,,,48.54,18.66,86.5,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,-9.3,-7.81,-15.08,-9.86,1.56,1.12,1,0,0,1,0,0,0,bullish,7.53,1177716351.7,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:24
